enemiesKilled,damageTaken,survivalTime,accuracy,playerType
4,140,65,28,Novice
5,130,80,35,Novice
3,160,55,22,Novice
6,120,90,38,Novice
2,180,40,20,Novice
7,110,95,42,Novice
4,150,70,30,Novice
8,100,110,45,Novice
5,125,85,33,Novice
6,115,100,40,Novice
10,95,130,50,Intermediate
12,90,150,58,Intermediate
11,85,145,55,Intermediate
14,80,170,62,Intermediate
9,105,125,48,Intermediate
15,75,180,65,Intermediate
13,88,160,60,Intermediate
10,98,135,52,Intermediate
16,70,190,67,Intermediate
12,92,155,57,Intermediate
18,60,220,75,Expert
20,55,240,82,Expert
22,50,260,85,Expert
17,65,210,72,Expert
24,45,280,90,Expert
19,58,230,78,Expert
21,52,250,84,Expert
23,48,270,88,Expert
18,62,215,74,Expert
25,40,300,92,Expert
